coin,date,level,mean_markout_bp,n_fills,n_opportunities
BNB,20231130,4,,0,345875
BNB,20231130,5,,0,345875
BNB,20240219,1,-1.1159834928982357,197,505253
BNB,20240219,2,1.3208312344286697,7,505253
BNB,20240219,3,0.3932157546693629,9,505253
BNB,20240219,4,-4.793855487723819,9,505253
BNB,20240219,5,-6.842056954215277,3,505253
BNB,20240317,1,-1.2035370019597265,1636,725591
BNB,20240317,2,-0.28981409027972355,478,725591
BNB,20240317,3,-1.0728089584300888,191,725591
BNB,20240317,4,2.736758349270172,103,725591
BNB,20240317,5,1.9771414256127702,65,725591
BNB,20240323,1,-0.08416298487439985,807,591745
BNB,20240323,2,0.16216648894227817,234,591745
BNB,20240323,3,0.7641495167674417,100,591745
BNB,20240323,4,2.7990858662794875,96,591745
BNB,20240323,5,2.544314287536279,60,591745
BNB,20240510,1,-0.7794265293072534,406,576776
BNB,20240510,2,-1.5197138000936001,74,576776
BNB,20240510,3,-1.7061052532536878,40,576776
BNB,20240510,4,-1.2919057896588693,26,576776
BNB,20240510,5,2.936788075869518,18,576776
BNB,20240531,1,-0.9899266640548876,207,536672
BNB,20240531,2,0.2691158846881366,38,536672
BNB,20240531,3,0.19036556298278187,23,536672
BNB,20240531,4,1.8208707566543971,6,536672
BNB,20240531,5,1.6567793386334582,9,536672
BNB,20240624,1,-2.7152141972312096,1180,676930
BNB,20240624,2,-1.2561384589720164,357,676930
BNB,20240624,3,-1.2657764831195966,138,676930
BNB,20240624,4,-1.92025936552252,59,676930
BNB,20240624,5,2.0584755612229646,44,676930
BNB,20240802,1,-1.8115736052641194,555,665060
BNB,20240802,2,-2.1116171085945603,107,665060
BNB,20240802,3,-0.1918978131475308,61,665060
BNB,20240802,4,-0.9547861106425806,43,665060
BNB,20240802,5,0.8876877722283274,25,665060
BNB,20241121,1,-0.2999221837573625,929,747263
BNB,20241121,2,0.074981111483735,230,747263
BNB,20241121,3,1.375091922373317,161,747263
BNB,20241121,4,1.577555178378024,113,747263
BNB,20241121,5,2.71014032948049,48,747263
BNB,20241124,1,-0.44798782873797893,1969,738087
BNB,20241124,2,0.6530401990936324,397,738087
BNB,20241124,3,0.3507491812043585,243,738087
BNB,20241124,4,1.7319067841932265,140,738087
BNB,20241124,5,2.588949371870037,99,738087
BNB,20241227,1,-1.180630323793762,882,693937
BNB,20241227,2,-0.4542758726866764,329,693937
BNB,20241227,3,1.1801677545771407,146,693937
BNB,20241227,4,-0.5147308401983721,114,693937
BNB,20241227,5,0.5895420365558653,47,693937
BNB,20250123,1,-0.23546163185978855,780,703086
BNB,20250123,2,-0.614415874478636,288,703086
BNB,20250123,3,-1.1812601619275698,118,703086
BNB,20250123,4,1.4072495715760152,42,703086
BNB,20250123,5,-0.12570925345070874,20,703086
BNB,20250129,1,-0.054768075139923836,516,695312
BNB,20250129,2,-0.2582374002917234,112,695312
BNB,20250129,3,-1.0400324098232878,44,695312
BNB,20250129,4,-1.9957798160592424,18,695312
BNB,20250129,5,0.025034297378735193,11,695312
BNB,20250219,1,-0.4323490859879553,830,695009
BNB,20250219,2,-0.42882247019450964,289,695009
BNB,20250219,3,1.117171381867192,138,695009
BNB,20250219,4,3.0842402776475475,108,695009
BNB,20250219,5,1.0395378955882897,39,695009
BNB,20250719,1,-1.296427484649857,196,636030
BNB,20250719,2,-0.6055508077243066,18,636030
BNB,20250719,3,1.645528879683635,10,636030
BNB,20250719,4,5.134724040813901,4,636030
BNB,20250719,5,6.192181624645588,8,636030
BTC,20230410,1,0.3372859803342725,6825,587446
BTC,20230410,2,0.38801989303166984,1939,587446
BTC,20230410,3,9.086886257183412,1137,587446
BTC,20230410,4,-1.7640567787805657,743,587446
BTC,20230410,5,-1.788794440667231,568,587446
BTC,20230413,1,-1.4637786862924866,2418,611390
BTC,20230413,2,-1.7035739472661926,880,611390
BTC,20230413,3,-2.4867745901116085,519,611390
BTC,20230413,4,-1.100247961140967,364,611390
BTC,20230413,5,-3.099363136504742,483,611390
BTC,20230416,1,0.05852695356248359,1012,539196
BTC,20230416,2,-0.8942211925616297,361,539196
BTC,20230416,3,-2.1272738626519216,251,539196
BTC,20230416,4,-1.1727573221440477,181,539196
BTC,20230416,5,-1.03040771705772,176,539196
BTC,20230525,1,-1.1910471749454445,1513,600821
BTC,20230525,2,-0.9274759632576444,659,600821
BTC,20230525,3,-0.9502058658473681,391,600821
BTC,20230525,4,0.2625593772288962,281,600821
BTC,20230525,5,-0.8237094012849584,320,600821
BTC,20230606,1,-1.056896461699095,3486,621199
BTC,20230606,2,-2.0047806250253415,1486,621199
BTC,20230606,3,-1.9324136350188112,740,621199
BTC,20230606,4,-0.30952242295422133,545,621199
BTC,20230606,5,-0.5262219966793089,479,621199
BTC,20230618,1,-1.323211178479741,651,519756
BTC,20230618,2,-1.6760281727878716,388,519756
BTC,20230618,3,-2.21569982355298,202,519756
BTC,20230618,4,-1.9455815289430634,196,519756
BTC,20230618,5,-2.311371455941215,111,519756
BTC,20231010,1,-0.9221057088986575,873,575718
BTC,20231010,2,-1.0837669275278445,509,575718
BTC,20231010,3,-0.9303160556144844,382,575718
BTC,20231010,4,-0.7867680428009934,323,575718
BTC,20231010,5,-1.0385990853804326,319,575718
BTC,20231215,1,0.28289099635897297,2564,691977
BTC,20231215,2,0.2993193755401592,681,691977
BTC,20231215,3,0.09555359958031799,419,691977
BTC,20231215,4,0.5684476984013574,281,691977
BTC,20231215,5,2.868597180721298,354,691977
BTC,20240213,1,-0.04953359855666106,6519,719499
BTC,20240213,2,-0.16483597943650174,1772,719499
BTC,20240213,3,-0.4246941367930519,1631,719499
BTC,20240213,4,-1.0216362805286,878,719499
BTC,20240213,5,0.7139554055631787,732,719499
BTC,20240311,1,-0.5335013200325851,17273,782252
BTC,20240311,2,-0.47275951820813444,4012,782252
BTC,20240311,3,-0.2922931619200006,2217,782252
BTC,20240311,4,-0.6251226403364369,1619,782252
BTC,20240311,5,-0.6707896287757545,1448,782252
BTC,20240513,1,-0.40545712985654037,5408,727043
BTC,20240513,2,-0.3927913277753373,1543,727043
BTC,20240513,3,-0.061476981768995714,1000,727043
BTC,20240513,4,-0.44555759917933496,731,727043
BTC,20240513,5,-0.6224506453098694,682,727043
BTC,20240802,1,-0.731350206180311,9311,769610
