venue,coin,date,gap_ms,n_fills,capture_bp,adverse_bp,net_bp
bybit_perp,ARB,20250820,1000,2365,1.0398064452175109,-1.978456429173004,-0.9386499839554935
bybit_perp,ARB,20250820,2000,2042,1.0336712499560858,-2.031649611867151,-0.9979783619110651
bybit_perp,ARB,20250820,5000,1532,1.0323592691656776,-1.9942423598774672,-0.9618830907117898
bybit_perp,ARB,20250820,10000,1249,1.0419588458500406,-1.4051886055841922,-0.3632297597341518
bybit_perp,AVAX,20250727,100,11594,0.20626768316829205,-1.3228397598347774,-1.116572076666485
bybit_perp,AVAX,20250727,250,9242,0.21730031043471548,-1.3538236204622272,-1.1365233100275116
bybit_perp,AVAX,20250727,500,8045,0.2172100005634745,-1.3373355089398589,-1.1201255083763846
bybit_perp,AVAX,20250727,1000,6630,0.21816849492806104,-1.2000670937554174,-0.9818985988273562
bybit_perp,AVAX,20250727,2000,5330,0.2185237545620888,-1.2059001771348097,-0.987376422572721
bybit_perp,AVAX,20250727,5000,3649,0.21846191136314255,-1.04028912259361,-0.8218272112304675
bybit_perp,AVAX,20250727,10000,2672,0.21954653572574404,-0.7588722159933944,-0.5393256802676503
bybit_perp,AVAX,20250728,100,17832,0.20322406806621082,-1.3023928459132106,-1.0991687778469996
bybit_perp,AVAX,20250728,250,13327,0.2141011918912267,-1.3311346462871942,-1.1170334543959675
bybit_perp,AVAX,20250728,500,11019,0.21581451671216476,-1.3073083068732512,-1.0914937901610864
bybit_perp,AVAX,20250728,1000,8915,0.21657442718652498,-1.257688214721903,-1.0411137875353782
bybit_perp,AVAX,20250728,2000,6859,0.21798965902000775,-1.2848171145077893,-1.0668274554877817
bybit_perp,AVAX,20250728,5000,4802,0.21683906679962509,-1.2639601904842621,-1.0471211236846367
bybit_perp,AVAX,20250728,10000,3383,0.21638353347113978,-0.9279879637449012,-0.7116044302737615
bybit_perp,AVAX,20250729,100,14975,0.21606554838260383,-1.2910219091749309,-1.074956360792327
bybit_perp,AVAX,20250729,250,11385,0.22453646826975376,-1.2826746192814518,-1.058138151011698
bybit_perp,AVAX,20250729,500,9548,0.2255601552138123,-1.2247378046751378,-0.9991776494613255
bybit_perp,AVAX,20250729,1000,7686,0.22573349997803333,-1.2011109811763723,-0.975377481198339
bybit_perp,AVAX,20250729,2000,5954,0.22695017571786458,-1.1584418504865572,-0.9314916747686928
bybit_perp,AVAX,20250729,5000,4075,0.22766401450148369,-1.0585129491468588,-0.8308489346453752
bybit_perp,AVAX,20250729,10000,3002,0.22300029329776086,-0.8716413563108054,-0.6486410630130445
bybit_perp,AVAX,20250730,100,13075,0.22597217919879461,-1.386361741393453,-1.1603895621946583
bybit_perp,AVAX,20250730,250,9791,0.237061967767721,-1.3274033913729413,-1.0903414236052202
bybit_perp,AVAX,20250730,500,8267,0.2366570616066894,-1.4302659030667388,-1.1936088414600496
bybit_perp,AVAX,20250730,1000,6665,0.23653348962188697,-1.3138304772061908,-1.077296987584304
bybit_perp,AVAX,20250730,2000,5151,0.2386148830307119,-1.3103258223059857,-1.0717109392752737
bybit_perp,AVAX,20250730,5000,3462,0.2389619019061033,-1.2201380968983535,-0.9811761949922504
bybit_perp,AVAX,20250730,10000,2500,0.24090572202972013,-1.0471257620263754,-0.8062200399966553
bybit_perp,AVAX,20250731,100,9946,0.22761095148599295,-1.2989244683661714,-1.0713135168801782
bybit_perp,AVAX,20250731,250,7626,0.2390692331357951,-1.3044940339255209,-1.0654248007897258
bybit_perp,AVAX,20250731,500,6569,0.23838018401534583,-1.2665569010013127,-1.0281767169859668
bybit_perp,AVAX,20250731,1000,5329,0.2381914188351425,-1.3010833542906588,-1.0628919354555164
bybit_perp,AVAX,20250731,2000,4003,0.2389047445502867,-1.1533513246643514,-0.9144465801140649
bybit_perp,AVAX,20250731,5000,2912,0.24030647919738582,-1.0338027862213715,-0.7934963070239857
bybit_perp,AVAX,20250731,10000,1977,0.23855608269301826,-0.8909607219179547,-0.6524046392249367
bybit_perp,AVAX,20250801,100,13825,0.2437125910665071,-1.361661157959451,-1.1179485668929443
bybit_perp,AVAX,20250801,250,10065,0.25460890920802887,-1.4009963510493677,-1.146387441841339
bybit_perp,AVAX,20250801,500,8230,0.2558220086555044,-1.3874606163786525,-1.1316386077231482
bybit_perp,AVAX,20250801,1000,6445,0.2552769236117545,-1.4352648901408147,-1.17998796652906
bybit_perp,AVAX,20250801,2000,4899,0.2562772743665085,-1.1250088160720766,-0.8687315417055681
bybit_perp,AVAX,20250801,5000,3552,0.2561559647569127,-1.4659744177849952,-1.2098184530280824
bybit_perp,AVAX,20250801,10000,2553,0.25484287796658694,-1.2833307395958873,-1.0284878616293003
bybit_perp,AVAX,20250802,100,9236,0.24603809117421982,-1.3636357420184728,-1.1175976508442529
bybit_perp,AVAX,20250802,250,7177,0.25818988118874525,-1.334711317626032,-1.0765214364372868
bybit_perp,AVAX,20250802,500,6121,0.2579712384442389,-1.3624167100081517,-1.104445471563913
bybit_perp,AVAX,20250802,1000,4908,0.25921718648557673,-1.396496267396772,-1.1372790809111955
bybit_perp,AVAX,20250802,2000,3904,0.2582428226771657,-1.309792378660373,-1.051549555983207
bybit_perp,AVAX,20250802,5000,2735,0.2582623007863917,-1.2310394532367965,-0.9727771524504051
