coin,date,block,regime,capture_sum,adverse_sum,net_sum,n_fills
AVAX,20241103,asia,stress,0.004384170286357403,0.0057152193039655685,0.010099390521645546,41.0
AVAX,20241103,europe,calm,0.005454568658024073,-0.015845458954572678,-0.010390891693532467,51.0
AVAX,20241103,europe,mid,0.018743835389614105,-0.03204353526234627,-0.013299701735377312,172.0
AVAX,20241103,us,calm,0.005564307793974876,-0.012177392840385437,-0.006613085046410561,52.0
AVAX,20241103,us,mid,0.010854247957468033,-0.009676585905253887,0.0011776613537222147,101.0
AVAX,20241112,asia,mid,0.0344851016998291,-0.09347687661647797,-0.05899178236722946,479.0
AVAX,20241112,asia,stress,0.15587374567985535,-0.41377973556518555,-0.2579059898853302,2128.0
AVAX,20241112,europe,mid,0.02827734872698784,-0.07846339792013168,-0.050186049193143845,392.0
AVAX,20241112,europe,stress,0.38709405064582825,-0.8257379531860352,-0.4386438727378845,4917.0
AVAX,20241112,us,mid,0.09004873037338257,-0.2673717737197876,-0.17732305824756622,1198.0
AVAX,20241112,us,stress,0.04958818852901459,-0.1408880352973938,-0.09129983186721802,648.0
AVAX,20241121,asia,mid,0.07466542720794678,-0.1758718192577362,-0.10120640695095062,994.0
AVAX,20241121,asia,stress,0.010502043180167675,-0.027985606342554092,-0.017483562231063843,142.0
AVAX,20241121,europe,calm,0.0016166046261787415,-0.00017446308629587293,0.0014421413652598858,22.0
AVAX,20241121,europe,mid,0.06503379344940186,-0.12082239985466003,-0.05578860640525818,901.0
AVAX,20241121,europe,stress,0.06462737172842026,-0.1215057373046875,-0.05687837302684784,900.0
AVAX,20241121,us,calm,0.011508513242006302,-0.029324781149625778,-0.017816266044974327,161.0
AVAX,20241121,us,mid,0.060409292578697205,-0.12003573775291443,-0.059626441448926926,855.0
AVAX,20241121,us,stress,0.004066864959895611,-0.015189817175269127,-0.011122954078018665,57.0
AVAX,20241127,asia,mid,0.10652865469455719,-0.28792649507522583,-0.18139785528182983,1791.0
AVAX,20241127,asia,stress,0.034034378826618195,-0.06976756453514099,-0.0357331782579422,538.0
AVAX,20241127,europe,mid,0.11412312835454941,-0.2554161548614502,-0.14129304885864258,1890.0
AVAX,20241127,europe,stress,0.04069659858942032,-0.1017092764377594,-0.06101267784833908,678.0
